id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là 4 giờ cho việc xử lý và khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1]. 

Danh sách nguồn đã sử dụng:
[1] support/sla-p1-2026.pdf",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Mọi thông tin trong Answer đều chính xác và có thể tìm thấy trong Context, cụ thể là thời gian SLA cho ticket P1 và thời gian phản hồi ban đầu.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi về thời gian SLA xử lý ticket P1.",5,Retrieved: 1/1 expected sources,5,"Model Answer đã bao gồm đầy đủ thông tin về SLA phản hồi ban đầu (15 phút) và thời gian xử lý (4 giờ), tương ứng với Expected Answer.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][2]. 

Danh sách nguồn đã sử dụng:
1. policy/refund-v4.pdf | Điều 2: Điều kiện được hoàn tiền
2. policy/refund-v4.pdf | Điều 3: Điều kiện áp dụng và ngoại lệ",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Mọi thông tin trong Answer đều đúng và có thể tìm thấy trong Context. Cụ thể, thông tin về việc khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc từ thời điểm xác nhận đơn hàng được nhắc đến rõ ràng trong Chunk 1 và Chunk 2.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi về thời gian yêu cầu hoàn tiền.",5,Retrieved: 1/1 expected sources,5,"Model Answer cung cấp đầy đủ thông tin quan trọng như trong Expected Answer, bao gồm thời gian yêu cầu hoàn tiền và điều kiện áp dụng.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, yêu cầu phải được phê duyệt bởi Line Manager, IT Admin và IT Security [1]. 

Danh sách nguồn đã sử dụng:
[1] it/access-control-sop.md | Section 2: Phân cấp quyền truy cập.","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"Thông tin trong Answer hoàn toàn chính xác. Yêu cầu cấp quyền Level 3 cần được phê duyệt bởi Line Manager, IT Admin và IT Security như đã nêu trong Chunk 1 của Context.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi, nêu rõ các đối tượng phải phê duyệt để cấp quyền Level 3.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm tất cả các điểm quan trọng và chính xác, nêu rõ rằng phê duyệt từ Line Manager, IT Admin, và IT Security là cần thiết cho việc cấp quyền Level 3.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền. Cụ thể, các sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription nằm trong danh sách ngoại lệ không được hoàn tiền [1]. 

Danh sách nguồn đã sử dụng:
[1] policy/refund-v4.pdf | Điều 3: Điều kiện áp dụng và ngoại lệ.","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Thông tin trong Answer hoàn toàn phù hợp với Context, cụ thể là thông tin về sự không hoàn tiền đối với sản phẩm kỹ thuật số như license key và subscription đã được nêu rõ trong Chunk 1.",5,"Trả lời trực tiếp và đầy đủ cho câu hỏi về việc hoàn tiền sản phẩm kỹ thuật số, đồng thời cung cấp thông tin cụ thể về danh mục ngoại lệ.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao phủ đầy đủ nội dung của Expected Answer, nêu rõ rằng sản phẩm kỹ thuật số không được hoàn tiền và đưa ra ví dụ cụ thể về các loại sản phẩm thuộc danh mục ngoại lệ.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1]. 

Nguồn đã sử dụng:
[1] support/helpdesk-faq.md | Section 1: Tài khoản và mật khẩu",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"Mọi thông tin trong Answer đều có thể tìm thấy trong Context, cụ thể là thông tin về việc tài khoản bị khóa sau 5 lần đăng nhập sai và cách mở khóa.",5,"Trả lời trực tiếp và đầy đủ về số lần đăng nhập sai cần thiết để khóa tài khoản, cũng như cung cấp thông tin về cách mở khóa.",5,Retrieved: 1/1 expected sources,5,"Mô hình trả lời không chỉ cung cấp thông tin chính xác về việc tài khoản bị khóa sau 5 lần đăng nhập sai mà còn bổ sung thêm thông tin hữu ích về cách mở khóa tài khoản, đảm bảo tính đầy đủ cho câu hỏi.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. **Tiếp nhận**: On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. **Thông báo**: Gửi thông báo tới Slack #incident-p1 và email incident@company.internal ngay lập tức.
3. **Triage và phân công**: Lead Engineer phân công engineer xử lý trong 10 phút.
4. **Xử lý**: Engineer cập nhật tiến độ lên ticket mỗi 30 phút. Nếu cần hỗ trợ thêm, engineer có thể escalate ngay.
5. **Resolution**: Sau khi khắc phục, viết incident report trong vòng 24 giờ.

Ngoài ra, nếu không có phản hồi trong 10 phút, sự cố P1 sẽ tự động escalate lên Senior Engineer [2][3].

Danh sách nguồn đã sử dụng:
- [2] support/sla-p1-2026.pdf | Phần 3: Quy trình xử lý sự cố P1
- [3] support/sla-p1-2026.pdf | Phần 2: SLA theo mức độ ưu tiên",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Tất cả thông tin trong Answer đều có thể tìm thấy trong Context và không có thông tin bịa đặt. Quy trình escalation cho sự cố P1 được mô tả chi tiết và đúng với nội dung trong các Chunk.,5,"Trả lời đầy đủ và chi tiết về quy trình escalation trong sự cố P1, bao gồm từng bước cụ thể và thời gian thực hiện, trực tiếp đáp ứng câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao phủ đầy đủ thông tin và quy trình xử lý sự cố P1, bao gồm cả thông tin về việc tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút, như đã nêu trong Expected Answer.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tôi xin lỗi, thông tin này không có trong tài liệu nội bộ.",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,1,"Answer sai lệch vì nó khẳng định thông tin không có trong tài liệu nội bộ, trong khi thực tế Context cung cấp các thông tin chi tiết về quy trình cấp phép truy cập.",1,"Trả lời không liên quan đến nội dung yêu cầu, không cung cấp thông tin cụ thể về tài liệu 'Approval Matrix'.",5,Retrieved: 1/1 expected sources,1,"Model Answer provides no relevant information or acknowledgment of the expected answer, which clearly identifies a key detail about the document's name change.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên có thể làm remote tối đa 2 ngày mỗi tuần sau khi đã qua thời gian thử việc (probation period) và phải được Team Lead phê duyệt lịch remote qua HR Portal. Ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch team [1]. 

Nguồn đã sử dụng:
[1] hr/leave-policy-2026.pdf | Phần 4: Remote work policy","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"Mọi thông tin trong Answer đều được xác nhận từ Context, cụ thể là các điều kiện làm remote và yêu cầu phê duyệt của Team Lead.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi về số ngày nhân viên được làm remote mỗi tuần.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao phủ đầy đủ tất cả các điểm quan trọng của Expected Answer, bao gồm khả năng làm remote tối đa 2 ngày/tuần, điều kiện phê duyệt từ Team Lead, cũng như thông tin bổ sung về ngày onsite bắt buộc.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Tôi xin lỗi, thông tin này không có trong tài liệu nội bộ.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"Answer không có thông tin nào liên quan đến nội dung trong context và tuyên bố rằng thông tin không có trong tài liệu nội bộ là không chính xác, vì có thông tin rõ ràng về quy trình và chính sách liên quan đến access request.",1,"Trả lời không liên quan đến câu hỏi về lỗi ERR-403-AUTH và cách xử lý, chỉ đơn giản thông báo không có thông tin.",,No expected sources,2,"Model Answer thiếu thông tin quan trọng về tính chất của lỗi ERR-403-AUTH và gợi ý liên hệ IT Helpdesk, chỉ đơn thuần xác nhận sự thiếu thông tin mà không cung cấp bối cảnh hay giải pháp.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tôi xin lỗi, thông tin này không có trong tài liệu nội bộ.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"Answer không cung cấp thông tin nào từ Context và khẳng định rằng thông tin không có trong tài liệu nội bộ, điều này không phản ánh chính xác các quy trình hoàn tiền và điều kiện yêu cầu mà nằm trong Context.",1,Trả lời không có thông tin cần thiết để giải đáp câu hỏi về quy trình hoàn tiền khẩn cấp cho khách hàng VIP.,5,Retrieved: 1/1 expected sources,1,Model Answer chỉ đơn giản xác nhận không có thông tin mà không cung cấp bất kỳ chi tiết nào về quy trình hoàn tiền cho khách hàng VIP hoặc thời gian xử lý yêu cầu hoàn tiền.,baseline_dense
